Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,VITAMIN A,Drug,N/A
,FALSE,VITAMIN B12 1000 MCG,Drug,N/A
,FALSE,VITAMIN C 1000 MG,Drug,N/A
,FALSE,VITAMIN D 10000 IU,Drug,N/A
,FALSE,VITAMIN D 200000 IU,Drug,N/A
,FALSE,VITAMIN D 50000 IU,Drug,N/A
,FALSE,VITAMIN E 1000 MG,Drug,N/A
,FALSE,VITAMIN E 400 MG,Drug,N/A
,FALSE,WAX REMOVAL EAR,Drug,N/A
,FALSE,Warfarin Sodium 5 MG,Drug,N/A
,FALSE,XYLOMETAZOLINE 0.05 %,Drug,N/A
,FALSE,ZINC 20 EFF,Drug,N/A
,FALSE,ZINC OXIDE 25 MG,Drug,N/A
,FALSE,ZINC OXIDE 40 %,Drug,N/A
,FALSE,ZINC OXIDE 5 %,Drug,N/A
,FALSE,ZINC SULPHATE 20 MG,Drug,N/A
